Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8
AA,Female,18,always right,usually right,always right,indifferent,always right,usually right,always right,always right
AB,Female,23,always right,always right,always right,always right,always right,always right,always right,always right
AC,Female,19,always right,always right,always right,always right,always right,always right,always right,always right
AD,Male,18,always right,always right,always right,usually right,always right,always right,always right,always right
AE,Female,18,always right,usually right,always right,always right,always right,always right,always right,always right
AF,Female,21,always right,always right,always right,always right,always right,usually right,always right,always right
AG,Female,18,always right,usually right,always right,always right,always right,always right,always right,always right
AH,Female,19,always right,usually right,always right,indifferent,always right,indifferent,usually right,always right
AI,Female,18,always right,usually right,indifferent,indifferent,usually right,usually right,usually right,always right
AJ,Female,18,usually right,always left,always right,always left,usually right,always left,indifferent,always right
AK,Female,18,always right,always right,always right,always right,always right,always right,always right,always right
AL,Female,17,always right,always right,always right,usually right,always right,usually right,usually right,always right
AM,Female,19,always right,always right,always right,always right,usually left,always right,always right,always right
AN,Female,18,always right,usually right,always right,always right,indifferent,always right,usually right,always right
AO,Female,19,always right,usually right,always right,always right,always right,indifferent,usually right,always right
AP,Male,22,always right,usually right,usually right,indifferent,always right,usually right,always right,always right
AQ,Female,18,always left,usually left,always right,always left,always right,always left,indifferent,indifferent
AR,Female,19,always right,always right,always right,always right,always right,always right,always right,always right
AS,Female,20,always right,always right,always right,always right,always right,always right,always right,always right
AT,Female,17,always right,always right,always right,indifferent,always right,always right,always right,usually right
AU,Female,22,always right,always right,always right,always right,always right,always right,always right,always right
AV,Female,20,always right,always right,always right,always right,always right,always right,always right,always right
AW,Female,19,always right,usually right,usually right,usually right,usually right,indifferent,usually right,usually right
AX,Female,19,always right,always right,always right,always right,usually right,usually right,always right,usually right
AY,Female,19,always right,usually right,always right,always right,always right,always right,always right,always right
AZ,Male,20,always left,always left,always right,indifferent,indifferent,always right,always left,always right
BA,Female,18,always right,usually right,always right,always right,always right,always right,usually right,always right
BB,Male,20,always right,always right,always right,always right,always right,always right,always right,always right
BC,Male,19,always right,always right,always right,always right,always right,usually right,always right,always right
BD,Male,31,always right,always right,always right,always right,always right,always right,always right,always right
BE,Female,19,always right,always right,always right,always right,always right,always right,always right,always right
BF,Female,19,always right,always right,indifferent,usually right,usually left,usually right,indifferent,always right
BG,Female,18,always right,usually right,always right,always right,always right,indifferent,usually right,always right
BH,Female,18,always right,always right,always right,always right,always right,always right,always right,always right
BI,Male,19,always right,always right,usually right,usually right,usually right,usually right,always right,always right
BJ,Female,18,always right,always right,always right,always right,always right,always right,always right,always right
BK,Female,23,always right,always right,always right,always right,always left,always right,always right,always right
BM,Female,19,always right,always right,always right,always right,always right,always right,always right,always right
BL,Female,18,always left,indifferent,always left,always left,always left,always left,usually right,always right
BN,Male,19,always right,always right,always right,always right,usually left,always right,always right,always right
BO,Female,20,always right,always right,always right,always right,always right,always right,always right,always right
BP,Female,19,always right,usually right,always right,always right,always right,always right,always right,always right
BQ,Female,18,always right,always right,always right,indifferent,usually right,indifferent,usually right,usually right
BR,Female,18,always right,always right,always right,always right,always right,always right,always right,always right
BS,Female,18,always right,usually right,usually right,always right,always right,always right,always right,always right
